MPN,Count,References
14010213102000,1,P4
14010813102000,1,P2
14011213102000,1,P1
BZX384C3V3-E3-08,8,"D13,D17,D16,D20,D19,D14,D18,D15"
CL21B104KBFNNNG,2,"C1,C3"
CMD15-21VGD/TR8,3,"D23,D21,D22"
CMD15-21VRD/TR8,6,"D10,D8,D12,D2,D6,D4"
CRCW0402100KFKED,1,R21
DMN2041L-7,6,"Q6,Q1,Q5,Q2,Q3,Q4"
DMP3056L-7,1,Q7
GMK212BBJ106KG-T,1,C2
GRM1555C1H750JA01D,1,C4
GRM21BR61A226ME51L,2,"C6,C5"
NRS8040T150MJGJ,1,L1
PPTC202LFBN-RC,1,P3
RC0402FR-0713K3L,1,R22
RC1005F271CS,9,"R12,R4,R23,R10,R2,R6,R28,R8,R27"
RMCF0402FT10K0,17,"R24,R18,R25,R9,R7,R19,R26,R20,R13,R14,R1,R17,R11,R15,R5,R16,R3"
S1MTR,6,"D1,D9,D7,D5,D11,D3"
TMP102AIDRLT,1,U2
TPS54202DDCT,1,U1
