inventory of parts for dlock pcb,,,,
stock,Digi-Key Part Number,Customer Reference,Quantity,MPN
76,1276-6468-1-ND,"C1,3",2,CL21B104KBFNNNG
13,587-4893-1-ND,C2,1,GMK212BBJ106KG-T
18,490-5951-1-ND,C4,1,GRM1555C1H750JA01D
19,490-10511-1-ND,"C5,6",2,GRM21BR61A226ME51L
25,1655-1506-1-ND,"D1,3,5,7,9,11",6,S1MTR
54,BZX384C3V3-E3-08GICT-ND,"D13,14,15,16,17,18,19,20",8,BZX384C3V3-E3-08
28,L62301CT-ND,"D2,4,6,8,10,12",6,CMD15-21VRD/TR8
24,L62305CT-ND,"D21,22,23",3,CMD15-21VGD/TR8
8,587-2973-1-ND,L1,1,NRS8040T150MJGJ
8,1195-3666-1-ND,P1,1,14011213102000
8,1195-3662-1-ND,P2,1,14010813102000
8,S6104-ND,P3,1,PPTC202LFBN-RC
8,1195-3656-1-ND,P4,1,14010213102000
28,DMN2041L-7DICT-ND,"Q1,2,3,4,5,6",6,DMN2041L-7
18,DMP3056L-7DICT-ND,Q7,1,DMP3056L-7
81,RMCF0402FT10K0CT-ND,"R1,3,5,7,9,11,13,14,15,16,17,18,19,20,24,25,26",17,RMCF0402FT10K0
92,1276-3970-1-ND,"R2,4,6,8,10,12,23,27,28",9,RC1005F271CS
17,541-100KLCT-ND,R21,1,CRCW0402100KFKED
16,YAG2974CT-ND,R22,1,RC0402FR-0713K3L
6,296-44151-1-ND,U1,1,TPS54202DDCT
3,296-22055-1-ND,U2,1,TMP102AIDRLT
,,,,
36,,"dlock PCB, alpha-3",,
